date,PERMNO,TICKER,PRC,C_strike_price,P_strike_price,option_days,rate,daily_rate,PV_strike_price,PutCallParity,PutCallRatio
2017-03-13,84398,SPY,237.81,236.887646,236.887646,60,0.891438,0.0024422958904109586,204.5982310926944,33.21176890730561,1.2187710908074922
2017-03-14,84398,SPY,236.89999,235.981749,235.981749,60,0.921591,0.0025249068493150687,202.80806848010312,34.091921519896886,1.5405714641344859
2017-03-15,84398,SPY,238.95,238.038419,238.038419,60,0.935268,0.002562378082191781,204.11619194962063,34.83380805037936,1.0821744611337512
2017-03-16,84398,SPY,238.48,237.871876,237.871876,60,0.958271,0.0026254,203.20355133259625,35.27644866740374,0.8323477190068445
2017-03-17,84398,SPY,237.03,237.455179,237.455179,60,0.958893,0.0026271041095890413,202.82684587985605,34.20315412014395,1.9655668576458827
2017-03-20,84398,SPY,236.77,237.198015,237.198015,60,0.959514,0.0026288054794520546,202.5865028407999,34.1834971592001,1.6771713554987213
2017-03-21,84398,SPY,233.73,234.153168,234.153168,60,0.958893,0.0026271041095890413,200.00637054210574,33.72362945789425,1.5224154494914381
2017-03-22,84398,SPY,234.28,234.705403,234.705403,60,0.957649,0.0026236958904109586,200.51907312847152,33.76092687152848,1.2710563470962524
2017-03-23,84398,SPY,234.03,234.453023,234.453023,60,0.957028,0.0026219945205479453,200.32390233473186,33.706097665268146,1.3449157519838377
2017-03-24,84398,SPY,233.86,234.283359,234.283359,60,0.957028,0.0026219945205479453,200.17893617421566,33.68106382578435,1.9566084743124894
2017-03-27,84398,SPY,233.62,234.04607,234.04607,60,0.957028,0.0026219945205479453,199.9761891255623,33.64381087443769,1.8845255917782384
2017-03-28,84398,SPY,235.32001,235.75277,235.75277,60,0.957028,0.0026219945205479453,201.4344463053586,33.885563694641405,1.3860414110515116
2017-03-29,84398,SPY,235.53999,235.972038,235.972038,60,0.960758,0.002632213698630137,201.49820900554442,34.041780994455564,1.2475668769677046
2017-03-30,84398,SPY,236.28999,236.724878,236.724878,60,0.969462,0.002656060273972603,201.85204894255543,34.43794105744456,1.4027579251221591
2017-03-31,84398,SPY,235.74001,236.175809,236.175809,60,0.963866,0.002640728767123288,201.5692016730794,34.17080832692062,1.7694706568172918
2017-04-03,84398,SPY,235.33,235.768707,235.768707,60,0.96511,0.00264413698630137,201.18060766281246,34.14939233718755,1.5253475183844718
2017-04-04,84398,SPY,235.48,235.920827,235.920827,60,0.962001,0.002635619178082192,201.4133208264581,34.0666791735419,1.4786325685082757
2017-04-05,84398,SPY,234.78,235.221016,235.221016,60,0.960758,0.002632213698630137,200.85690595452886,33.923094045471146,1.4690316515745994
2017-04-06,84398,SPY,235.44,235.88595,235.88595,60,0.960136,0.002630509589041096,201.4452938858051,33.994706114194884,1.3372676494310032
2017-04-07,84398,SPY,235.2,235.647251,235.647251,60,0.960136,0.002630509589041096,201.24144626281085,33.958553737189135,1.5050940897748872
2017-04-10,84398,SPY,235.34,235.790248,235.790248,60,0.959514,0.0026288054794520546,201.38415469575037,33.955845304249635,1.8338281994370151
2017-04-11,84398,SPY,235.06,235.510464,235.510464,60,0.960136,0.002630509589041096,201.12463092296227,33.935369077037734,1.385611248760745
2017-04-12,84398,SPY,234.03,234.450914,234.450914,60,0.960136,0.002630509589041096,200.21978109559143,33.81021890440857,1.4081576738762485
2017-04-13,84398,SPY,232.50999,232.928979,232.928979,60,0.958271,0.0026254,198.98105037468042,33.528939625319566,1.6602200283662425
2017-04-17,84398,SPY,234.57001,233.963501,233.963501,60,0.958271,0.0026254,198.98105037468042,33.528939625319566,1.520620836157445
2017-04-18,84398,SPY,233.87,233.25852,233.25852,60,0.960136,0.002630509589041096,199.20148322851765,34.66851677148236,1.4396741646611304
2017-04-19,84398,SPY,233.44,232.829836,232.829836,60,0.958893,0.0026271041095890413,198.87602140951478,34.56397859048522,1.720178798450558
2017-04-20,84398,SPY,235.34,234.736474,234.736474,60,0.957028,0.0026219945205479453,200.56609162158392,34.77390837841608,2.057492298533225
2017-04-21,84398,SPY,234.59,233.985642,233.985642,60,0.957649,0.0026236958904109586,199.90414988107608,34.68585011892392,1.8902459016393443
2017-04-24,84398,SPY,237.17,236.577976,236.577976,60,0.957649,0.0026236958904109586,202.1188939997678,35.05110600023218,1.8459104787651328
2017-04-25,84398,SPY,238.55,237.964052,237.964052,60,0.957649,0.0026236958904109586,203.30307924328187,35.24692075671814,0.9685720039452336
2017-04-26,84398,SPY,238.39999,237.814777,237.814777,60,0.958893,0.0026271041095890413,203.13400333345157,35.26598666654843,1.295178781624495
2017-04-27,84398,SPY,238.60001,238.014147,238.014147,60,0.959514,0.0026288054794520546,203.28354631199622,35.31646368800378,1.2399931616480429
2017-04-28,84398,SPY,238.08,237.495046,237.495046,60,0.963245,0.002639027397260274,202.71582480187442,35.364175198125594,1.715753061977524
2017-05-01,84398,SPY,238.67999,238.102704,238.102704,60,0.963245,0.002639027397260274,202.71582480187442,35.364175198125594,1.3616308767814567
2017-05-02,84398,SPY,238.77,238.191445,238.191445,60,0.960758,0.002632213698630137,203.39337649803508,35.37662350196493,1.4754205637069013
2017-05-03,84398,SPY,238.48,237.903308,237.903308,60,0.96138,0.002633917808219178,203.12656419795135,35.35343580204864,1.0540999872932348
2017-05-04,84398,SPY,238.75999,238.18791,238.18791,60,0.960136,0.002630509589041096,203.41115496703256,35.34883503296743,1.2144954084366126
2017-05-05,84398,SPY,239.7,239.132506,239.132506,60,0.960136,0.002630509589041096,204.21783471554392,35.48216528445607,1.8287260721457517
2017-05-08,84398,SPY,239.66,239.098037,239.098037,60,0.959514,0.0026288054794520546,204.20927701241592,35.45072298758407,1.5353119119951062
2017-05-09,84398,SPY,239.44,238.876017,238.876017,60,0.959514,0.0026288054794520546,204.0196537756417,35.4203462243583,1.5825905910853688
